Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
us,dawson,31.773333299999997,-84.44666670000001,85.87,55,40,1.88
in,khurai,24.0436,78.3319,71.3,99,92,5.28
be,kortemark,51.033333,3.0333330000000003,68.58,73,75,8.05
ru,staraya stanitsa,48.336326,40.295881,70.4,75,76,2.59
ve,el vigia,8.6219444,-71.6505556,66.98,61,12,0.58
ru,eldikan,60.8,135.183333,61.85,89,12,3.56
it,piossasco,44.983333,7.466667,71.6,68,75,16.11
gb,almondbank,56.4,-3.55,53.8,87,0,3.36
br,salinopolis,-0.616667,-47.333333,80.48,95,32,17.13
it,foggia,41.45,15.566667,71.98,94,20,2.24
us,schertz,29.551944399999996,-98.2694444,95.77,39,75,6.93
us,lebanon,43.6422222,-72.2522222,72.79,83,1,4.79
in,mahasamund,21.1,82.1,73.1,97,92,10.76
ar,san carlos de bariloche,-41.140293,-71.301369,41,56,20,16.11
am,argavand,40.158055600000004,44.44,82.4,39,0,17.22
ua,katsiveli,44.396308000000005,33.973034999999996,76.34,96,20,8.86
in,narayanpet,16.733333,77.5,71.93,94,92,10.87
nc,thio,-21.6166667,166.2166667,71.6,60,0,2.24
br,guapore,-28.85,-51.9,51.5,76,0,10.09
ee,lavassaare,58.5113889,24.3888889,52.04,80,0,1.48
ke,kitale,1.0166667,35.0,44.93,82,0,0.47
br,ibirama,-27.0546,-49.516000000000005,47.54,90,0,3.56
si,kromberk,45.9608333,13.665555599999998,73.02,88,24,2.24
fr,coudekerque-branche,51.022884000000005,2.393586,68.88,73,75,8.05
ua,novooleksiyivka,46.224717999999996,34.64031,73.19,87,0,13.44
ir,jiroft,28.6535,57.7646,78.5,22,0,8.81
it,capannori,43.833333,10.566667,70.59,83,0,5.82
us,middleton,43.0972222,-89.5041667,73.18,78,90,4.7
gt,el adelanto,14.166667000000002,-89.833333,88.79,55,20,3.36
ca,sylvan lake,52.3,-114.08333300000001,78.8,31,75,2.24
de,burghausen,48.166667,12.833333,71.6,64,20,5.82
hu,jaszapati,47.516667,20.15,71.62,82,0,3.36
lt,trakai,54.6333333,24.9333333,59.81,100,0,2.24
ro,cilieni,43.9,24.616667,71.3,91,24,7.4
az,naftalan,40.506667,46.825,77,61,75,9.17
ru,svobody,44.025556,43.050278000000006,68,72,24,8.95
us,university city,38.6666667,-90.3208333,78.48,83,90,4.7
br,luziania,-16.25,-47.933333000000005,73.4,53,20,4.7
co,san onofre,9.735863,-75.526261,83.99,86,12,12.62
us,cary,35.791388899999994,-78.78138890000001,90.05,59,1,4.7
ru,kantemirovka,49.708871,39.859221999999995,62.21,78,12,7.25
in,lakheri,25.666667,76.166667,76.7,94,88,2.55
no,ytre arna,60.466667,5.433333,58.43,90,88,2.59
ru,zaton,53.293611,83.807222,51.8,93,0,4.47
sk,liptovsky hradok,49.033333299999995,19.7333333,62.71,82,20,6.93
nl,beuningen,51.859898,5.766456,80.96,37,90,8.05
us,englewood,40.8927778,-73.9730556,82.63,58,20,3.36
br,carmo do cajuru,-20.183332999999998,-44.766667,59.15,73,8,5.01
de,netphen,50.916667,8.1,77,50,0,4.7
jp,atami,35.089444,139.068611,75.87,78,75,19.46
tj,kim,40.2,70.4666667,77,50,20,8.95
br,forquilhinha,-28.75,-49.466667,57.17,100,0,13.33
ru,meshchovsk,54.32444399999999,35.280833,55.37,84,0,8.3
de,reichenbach,50.616667,12.3,73.4,46,36,3.36
us,des plaines,42.033333299999995,-87.8833333,73.71,83,90,4.7
